id,name,address,alias
5,Hồ Chí Minh,"Số 354A Cộng Hòa, Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh","văn phòng đại diện HCM, văn phòng đại diện Hồ Chí Minh, văn phòng đại diện Sài Gòn, văn phòng đại diện SG, văn phòng HCM, văn phòng SG, văn phòng Hồ Chí Minh, văn phòng HCM, HCM, Hồ Chí Minh, Sài Gòn, SG, chi nhánh Sài Gòn, chi nhánh Hồ Chí Minh, chi nhánh SG, chi nhánh HCM, văn phòng đại diện công ty tại Hồ Chí Minh, van phong dai dien cong ty tai ho chi minh (sai gon)"
4,Đà Nẵng,"Tầng 17, tòa nhà Thành Lợi 2, số 3 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng","văn phòng đại diện ĐN, văn phòng đại diện Đà Nẵng, văn phòng Đà Nẵng, văn phòng ĐN, Đà Nẵng, ĐN, chi nhánh Đà Nẵng, chi nhánh ĐN, văn phòng đại diện công ty tại Đà Nẵng, van phong dai dien cong ty tai da nang"
3,"Tầng 9, Hà Nội","Tầng 9, tòa nhà HTP Building, số 434 Trần Khát Chân, Hai Bà Trưng, Hà Nội","tầng 9 Hà Nội, tâng 9 HN, tầng 9 chi nhánh Hà Nội, tầng 9 chi nhánh HN, tầng 9 văn phòng Hà Nội, tầng 9 văn phòng HN, tang 9 van phong ha noi"
2,"Tầng 8, Hà Nội","Tầng 8, tòa nhà HTP Building, số 434 Trần Khát Chân, Hai Bà Trưng, Hà Nội","tầng 8 Hà Nội, tâng 8 HN, tầng 8 chi nhánh Hà Nội, tầng 8 chi nhánh HN, tầng 8 văn phòng Hà Nội, tầng 8 văn phòng HN, tang 8 chi van phong ha noi"
1,"Tầng 5, Hà Nội","Tầng 5, tòa nhà HTP Building, số 434 Trần Khát Chân, Hai Bà Trưng, Hà Nội","tầng 5 Hà Nội, tâng 5 HN, tầng 5 chi nhánh Hà Nội, tầng 5 chi nhánh HN, tầng 5 văn phòng Hà Nội, tầng 5 văn phòng HN, tang 5 van phong ha noi"
0,None,None,None
