start_id,end_id
482,1
389,5
388,1
387,1
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,4
378,2
377,3
376,2
375,4
374,1
373,2
372,1
371,2
370,3
369,3
368,1
367,3
366,4
365,2
364,2
363,1
362,2
361,1
360,3
357,5
356,3
355,3
354,2
353,4
352,5
351,2
350,3
349,1
348,3
347,1
346,2
345,2
344,4
343,1
342,3
341,2
340,2
339,2
338,2
337,3
336,2
335,2
334,1
333,2
332,5
331,1
330,3
329,4
328,4
327,4
326,3
325,5
324,5
323,3
322,5
321,5
319,3
318,1
317,3
315,1
314,3
312,2
311,2
310,2
307,1
306,2
305,5
304,1
303,2
302,2
301,1
300,1
299,1
297,3
296,3
295,3
294,5
293,1
292,1
291,2
290,4
288,4
287,2
286,2
284,3
283,2
282,2
281,2
280,1
279,2
278,1
277,4
276,5
275,3
274,2
273,2
272,4
270,2
269,3
268,4
267,4
266,3
264,5
263,5
262,4
261,4
260,5
257,5
256,3
255,5
254,3
253,4
252,5
250,3
249,2
248,3
245,5
244,2
243,2
241,1
240,5
238,5
237,5
235,2
234,3
233,2
232,5
231,5
230,1
227,1
226,3
225,2
224,5
223,2
222,3
221,3
220,4
219,1
217,3
216,3
215,1
214,4
213,5
212,5
210,1
209,5
208,5
206,1
205,2
202,2
201,5
200,3
199,4
198,5
197,5
196,5
195,2
194,4
193,3
192,3
191,5
190,3
189,1
187,3
186,1
185,5
184,5
183,3
182,1
181,1
180,4
176,1
174,5
173,4
172,5
171,1
170,3
168,3
166,3
165,1
164,5
163,5
162,5
161,3
160,5
158,5
157,5
156,5
155,5
154,1
153,4
152,5
150,1
149,3
148,5
146,4
145,5
144,2
143,1
142,2
141,2
140,1
139,3
138,3
137,5
136,5
135,5
134,3
133,3
132,4
131,5
130,1
129,4
128,3
127,1
126,5
125,2
124,2
123,1
122,1
120,5
119,3
118,2
117,3
116,1
115,3
114,3
113,3
112,3
111,1
110,1
109,1
108,2
107,1
106,5
105,1
104,5
103,5
102,4
101,4
100,1
99,3
98,3
96,5
95,3
94,2
93,4
91,1
90,3
89,3
88,3
87,2
86,2
85,3
84,2
83,2
82,2
80,3
79,4
76,3
75,1
74,2
73,3
72,2
71,2
70,1
69,5
68,3
66,3
65,1
63,2
62,2
61,4
60,5
58,2
57,1
55,1
54,2
53,3
52,3
51,4
50,1
48,5
47,1
46,2
45,4
44,4
43,3
42,4
41,3
39,2
38,2
37,1
36,1
35,1
34,1
33,2
32,2
31,1
30,1
29,1
28,1
27,1
26,1
25,1
24,1
23,1
22,1
21,1
20,3
19,3
18,2
17,2
16,2
15,2
14,3
13,4
12,3
11,3
8,3
7,5
6,3
5,1
4,2
3,2
2,1
1,5
