start_id,end_id,role,alias
235,1,FullStack Developer,"fullstack developer, fullstack developer, dev"
234,1,Data Analyst,"data analyst, data analyst, da"
233,1,Community Executive,"community executive, community executive"
232,1,Campaign Marketing Specialist,"campaign marketing specialist, campaign marketing specialist"
231,1,Motion Graphic Designer,"motion graphic designer, motion graphic designer"
230,1,Photo/Video Editor,"photo/video editor, photo video editor"
227,1,Content Creator,"content creator, content creator"
226,1,Test leader - Fschool,"test leader - fschool, test leader - fschool"
225,1,Database Developer,"database developer, database developer"
224,1,Campaign Marketing Specialist,"campaign marketing specialist, campaign marketing specialist"
223,1,Java Developer,"java developer, java developer, dev"
222,1,Deployment team lead,"deployment team lead, deployment team lead"
221,1,Java Developer,"java developer, java developer, dev"
220,1,CV Engineer,"cv engineer, cv engineer, computer vision"
219,1,Senior Content Creator,"senior content creator, senior content creator"
217,1,Business Analyst (BA),"business analyst (ba), business analyst (ba)"
216,1,Business Analyst (BA),"business analyst (ba), business analyst (ba)"
215,1,Kế toán,"kế toán, ke toan"
214,1,NLP Engineer,"nlp engineer, nlp engineer"
213,1,Community Lead,"community lead, community lead"
212,1,Game Operation,"game operation, game operation"
210,1,TTNB,"ttnb, ttnb, truyền thông nội bộ, truyen thong noi bo"
209,1,Video Editor,"video editor, video editor"
208,1,Senior Art,"senior art, senior art"
206,1,IT Support,"it support, it support"
205,1,Devops,"devops, devops"
202,1,FE Developer,"fe developer, fe developer, dev"
201,1,Community Executive,"community executive, community executive"
200,1,PO,"po, po, project owner"
199,1,NLP Engineer,"nlp engineer, nlp engineer"
198,1,Social Media Executive,"social media executive, social media executive"
197,1,Operation Executive,"operation executive, operation executive"
196,1,QL team chăm sóc khách hàng (CSKH),"ql team chăm sóc khách hàng (cskh), ql team cham soc khach hang (cskh), quản lý"
195,1,FullStack Developer,"fullstack developer, fullstack developer, dev"
194,1,CV Engineer,"cv engineer, cv engineer, computer vision"
193,1,Business Analyst (BA),"business analyst (ba), business analyst (ba)"
192,1,BS,"bs, bs"
191,1,Content Producer,"content producer, content producer"
190,1,Nhân viên biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
189,1,Kế toán tổng hợp,"kế toán tổng hợp, ke toan tong hop"
187,1,NLP Engineer,"nlp engineer, nlp engineer"
186,1,Sysadmin,"sysadmin, sysadmin"
185,1,KOL Manager ,"kol manager, kol manager"
184,1,Digital UA Specialist,"digital ua specialist, digital ua specialist"
183,1,Nhân viên biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
182,1,Game Product,"game product, game product"
181,1,Game Product,"game product, game product"
180,1,NLP Engineer,"nlp engineer, nlp engineer"
176,1,Pentest,"pentest, pentest"
174,1,Tournament Leader,"tournament leader, tournament leader"
173,1,CV Engineer,"cv engineer, cv engineer, computer vision"
172,1,Content & Creative Lead,"content & creative lead, content & creative lead"
171,1,UI/UX Designer,"ui/ux designer, ui ux designer"
170,1,CV Engineer,"cv engineer, cv engineer, computer vision"
168,1,Business Analyst ,"business analyst, business analyst, ba"
166,1,Nhân viên biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
165,1,Developer,"developer, developer, dev"
164,1,Nhân viên Kiểm duyệt nội dung & Định danh Khách hàng,"nhân viên kiểm duyệt nội dung & định danh khách hàng, nhan vien kiem duyet noi dung & dinh danh khach hang"
163,1,Nhân viên Xử lý Ticket ,"nhân viên xử lý ticket, nhan vien xu ly ticket"
162,1,Nhân viên Chăm sóc Khách hàng,"nhân viên chăm sóc khách hàng, nhan vien cham soc khach hang"
161,1,Nhân Viên Biên Soạn Nội Dung Giáo Dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
160,1,Chuyên viên phòng chống rủi ro,"chuyên viên phòng chống rủi ro, chuyen vien phong chong rui ro"
158,1,Nhân viên Chăm sóc Khách hàng,"nhân viên chăm sóc khách hàng, nhan vien cham soc khach hang"
157,1,Nhân viên Kiểm duyệt nội dung & Định danh Khách hàng,"nhân viên kiểm duyệt nội dung & định danh khách hàng, nhan vien kiem duyet noi dung & dinh danh khach hang"
156,1,Supervisor Xử lý Ticket ,"supervisor xử lý ticket, supervisor xu ly ticket"
155,1,Nhân viên Kiểm duyệt thông tin & Định danh Khách hàng,"nhân viên kiểm duyệt thông tin & định danh khách hàng, nhan vien kiem duyet thong tin & dinh danh khach hang"
154,1,3D Model,"3d model, 3d model"
153,1,CV Engineer,"cv engineer, cv engineer, computer vision"
152,1,Community Executive,"community executive, community executive"
150,1,Kế toán đối soát,"kế toán đối soát, ke toan doi soat"
149,1,BS,"bs, bs"
148,1,Game Coordinator,"game coordinator, game coordinator"
146,1,NLP Engineer,"nlp engineer, nlp engineer"
145,1,HCNS đối soát,"hcns đối soát, hcns doi soat, hành chính nhân sự đối soát, hanh chinh nhan su doi soat"
144,1,FE Developer,"fe developer, fe developer, frontend front end dev"
143,1,Game Art/Animator,"game art/animator, game art animator"
142,1,.NET + Database Developer,".net + database developer, .net + database developer, dotnet, net"
141,1,Java Developer,"java developer, java developer, dev"
140,1,Kế toán trưởng,"kế toán trưởng, ke toan truong"
139,1,CV Engineer,"cv engineer, cv engineer, computer vision"
138,1,PA,"pa, pa, Personal Assistant"
137,1,Social Content,"social content, social content"
136,1,Game Operation Manager,"game operation manager, game operation manager"
135,1,Game Content,"game content, game content"
134,1,QA,"qa, qa, Quality Assurance"
133,1,Data Analyst,"data analyst, data analyst"
132,1,CV Engineer,"cv engineer, cv engineer, computer vision"
131,1,Game Content,"game content, game content"
130,1,Pentest,"pentest, pentest"
129,1,CV Engineer,"cv engineer, cv engineer, computer vision"
128,1,QA,"qa, qa, Quality Assurance"
127,1,Game Developer,"game developer, game developer, dev"
126,1,Pháp chế,"pháp chế, phap che"
125,1,Mobile Developer,"mobile developer, mobile developer, dev"
124,1,Mobile Developer,"mobile developer, mobile developer, dev"
123,1,Admin,"admin, admin"
122,1,Game Developer,"game developer, game developer, dev"
120,1,Digital media planner & Cordinator,"digital media planner & cordinator, digital media planner & cordinator"
119,1,BS,"bs, bs"
118,1,Nhân viên,"nhân viên, nhan vien"
117,1,Data Engineer,"data engineer, data engineer"
116,1,2D Designer,"2d designer, 2d designer"
115,1,QA,"qa, qa, Quality Assurance"
114,1,PGĐ TT AI - DA&DS,"pgđ tt, da&ds, phó giám đốc trung tâm, pho giam doc trung tam AI, data analyst, data scientist"
113,1,CV Engineer,"cv engineer, cv engineer, computer vision"
112,1,BS,"bs, bs"
111,1,3D Model,"3d model, 3d model"
110,1,3D Model,"3d model, 3d model"
109,1,Game Product,"game product, game product"
108,1,Mobile Developer,"mobile developer, mobile developer, dev"
107,1,Unity Developer,"unity developer, unity developer, dev"
106,1,Tournament Executive,"tournament executive, tournament executive"
105,1,Unity Developer,"unity developer, unity developer, dev"
104,1,Tournament Executive,"tournament executive, tournament executive"
103,1,Project Manager,"project manager, project manager"
102,1,NLP Engineer,"nlp engineer, nlp engineer"
101,1,NLP Engineer,"nlp engineer, nlp engineer"
100,1,2D Designer,"2d designer, 2d designer"
99,1,PA,"pa, pa"
98,1,PA,"pa, pa"
96,1,Creator,"creator, creator"
95,1,Product Owner,"product owner, product owner"
94,1,Tech Lead dự án FSCHOOL,"tech lead dự án fschool, tech lead du an fschool"
93,1,NLP Engineer,"nlp engineer, nlp engineer"
91,1,2D Designer,"2d designer, 2d designer"
90,1,Translator,"translator, translator"
89,1,QA,"qa, qa, Quality Assurance"
88,1,QA,"qa, qa, Quality Assurance"
87,1,Developer,"developer, developer, dev"
86,1,Tech Lead dự án FUNZY,"tech lead dự án funzy, tech lead du an funzy"
85,1,CV Engineer,"cv engineer, cv engineer, computer vision"
84,1,Developer,"developer, developer, dev"
83,1,Developer,"developer, developer, dev"
82,1,Dev IOS,"dev ios, dev ios,  developer"
80,1,Product Analyst,"product analyst, product analyst"
79,1,CV Engineer,"cv engineer, cv engineer, computer vision"
76,1,BS,"bs, bs"
75,1,Game Developer,"game developer, game developer, dev"
74,1,Trưởng nhóm Android,"trưởng nhóm android, truong nhom android"
73,1,QA,"qa, qa, Quality Assurance"
72,1,Dev Android,"dev android, dev android, developer"
71,1,DEV FE,"dev fe, dev fe, frontend developer, front end"
70,1,Hành chính nhân sự (HCNS),"hành chính nhân sự (hcns), hanh chinh nhan su (hcns)"
69,1,Operation Manager,"operation manager, operation manager"
68,1,QA,"qa, qa, Quality Assurance"
66,1,Phó Phòng,"phó phòng, pho phong, product, sản phẩm, ban product"
65,1,Unity Developer,"unity developer, unity developer, dev"
63,1,Developer,"developer, developer, dev"
62,1,BE,"be, be, backend developer, back end dev"
61,1,NLP Engineer,"nlp engineer, nlp engineer"
60,1,Unity Developer,"unity developer, unity developer, dev"
58,1,Tech Lead dự án FBANG,"tech lead dự án fbang, tech lead du an fbang"
57,1,Trưởng Phòng,"trưởng phòng, truong phong, HCNS, hành chính nhân sự, hanh chinh nhan su"
55,1,Game PD,"game pd, game pd"
54,1,Phó Phòng,"phó phòng, pho phong, application, ứng dụng"
53,1,PO,"po, po, project owner"
52,1,Admin,"admin, admin"
51,1,CV Engineer,"cv engineer, cv engineer, computer vision"
50,1,Admin,"admin, admin"
48,1,3D Animation,"3d animation, 3d animation"
47,1,QA,"qa, qa, Quality Assurance"
46,1,Frontend Developer,"frontend developer, front end dev"
45,1,Trưởng nhóm phụ trách mảng Computer Vision,"trưởng nhóm phụ trách mảng computer vision, truong nhom phu trach mang computer vision, cv engineer"
44,1,NLP Engineer,"nlp engineer, nlp engineer"
43,1,CV Engineer,"cv engineer, cv engineer, computer vision"
42,1,Trưởng nhóm phụ trách mảng NLP,"trưởng nhóm phụ trách mảng nlp, truong nhom phu trach mang nlp, nlp engineer"
41,1,Business Analyst (BA),"business analyst (ba), business analyst (ba)"
39,1,Phó Phòng,"phó phòng, pho phong, platform"
38,1,Developer,"developer, developer, dev"
37,1,Trưởng Phòng,"trưởng phòng, truong phong, IS"
36,1,Operation,"operation, operation"
35,1,Operation,"operation, operation"
34,1,Developer,"developer, developer, dev"
33,1,Phó Phòng,"phó phòng, pho phong, platform"
32,1,Trưởng Phòng,"trưởng phòng, truong phong, platform"
31,1,Designer,"designer, designer"
30,1,Phó Phòng,"phó phòng, pho phong game"
29,1,Art,"art, art"
28,1,Art,"art, art"
27,1,3D Model,"3d model, 3d model"
26,1,Unity Developer,"unity developer, unity developer, dev"
25,1,Unity Developer,"unity developer, unity developer, dev"
24,1,Unity Developer,"unity developer, unity developer, dev"
23,1,Unity Developer,"unity developer, unity developer, dev"
22,1,Game Product,"game product, game product"
21,1,Trưởng Phòng,"trưởng phòng, truong phong game"
20,1,Phó Phòng,"phó phòng, pho phong, qa, quality assurance, đảm bảo chất lượng"
19,1,Business Analyst (BA),"business analyst (ba), business analyst (ba)"
18,1,Trưởng nhóm Cross Platform,"trưởng nhóm cross platform, truong nhom cross platform"
17,1,Backend Developer,"backend developer, backend developer, back end dev"
16,1,Backend Developer,"backend developer, backend developer, back end dev"
15,1,Phó Phòng,"phó phòng, pho phong, application, ứng dụng"
14,1,Trưởng nhóm mảng Data Analyst,"trưởng nhóm mảng data analyst, truong nhom mang data analyst"
13,1,Trưởng nhóm phụ trách mảng NLP,"trưởng nhóm phụ trách mảng nlp, truong nhom phu trach mang nlp, nlp engineer"
12,1,Trưởng nhóm phụ trách mảng Computer Vision,"trưởng nhóm phụ trách mảng computer vision, truong nhom phu trach mang computer vision, cv engineer"
11,1,Data Engineer,"data engineer, data engineer"
8,1,CPO - Giám đốc Sản phẩm,"cpo - giám đốc sản phẩm, cpo - giam doc san pham, cpo, cpo, cpo, ban lãnh đạo, ban lanh dao"
7,1,CBO - Giám đốc Kinh doanh,"cbo - giám đốc kinh doanh, cbo - giam doc kinh doanh, cbo, cbo, cbo, ban lãnh đạo, ban lanh dao"
6,1,CIO - Giám đốc Thông tin,"cio - giám đốc thông tin, cio - giam doc thong tin, giám đốc trung tâm AI, tt, cio, cio, cio, ban lãnh đạo, ban lanh dao"
5,1,CCO - Giám đốc Sáng tạo,"cco - giám đốc sáng tạo, cco - giam doc sang tao, coo, coo, coo, ban lãnh đạo, ban lanh dao"
4,1,CTO - Giám đốc Công nghệ,"cto - giám đốc công nghệ, cto - giam doc cong nghe, cto, cto, cto, ban lãnh đạo, ban lanh dao"
3,1,COO - Giám đốc Thường trực ,"coo - giám đốc thường trực, coo - giam doc thuong truc, coo, coo, coo, ban lãnh đạo, ban lanh dao"
2,1,CIA - Giám đốc Nội chính ,"cia - giám đốc nội chính, cia - giam doc noi chinh, cia, cia, cia, ban lãnh đạo, ban lanh dao"
1,1,CEO - Giám đốc điều hành,"ceo - giám đốc điều hành, ceo - giam doc dieu hanh, ceo, ceo , ceo, ban lãnh đạo, ban lanh dao"
