start_id,end_id,role,alias
248,7,Nhân viên,"nhân viên, nhan vien"
245,17,Nhân viên,"nhân viên, nhan vien"
244,6,Nhân viên,"nhân viên, nhan vien"
243,2,Nhân viên,"nhân viên, nhan vien"
241,13,Nhân viên,"nhân viên, nhan vien"
240,15,Nhân viên,"nhân viên, nhan vien"
238,15,Nhân viên,"nhân viên, nhan vien"
237,16,Nhân viên,"nhân viên, nhan vien"
235,2,Nhân viên,"nhân viên, nhan vien"
234,7,Nhân viên,"nhân viên, nhan vien"
233,16,Nhân viên,"nhân viên, nhan vien"
232,17,Nhân viên,"nhân viên, nhan vien"
231,17,Nhân viên,"nhân viên, nhan vien"
230,4,Nhân viên,"nhân viên, nhan vien"
227,4,Nhân viên,"nhân viên, nhan vien"
226,11,Nhân viên,"nhân viên, nhan vien"
225,31,Nhân viên,"nhân viên, nhan vien"
224,17,Nhân viên,"nhân viên, nhan vien"
223,5,Nhân viên,"nhân viên, nhan vien"
222,3,Nhân viên,"nhân viên, nhan vien"
221,5,Nhân viên,"nhân viên, nhan vien"
220,7,Nhân viên,"nhân viên, nhan vien"
219,4,Nhân viên,"nhân viên, nhan vien"
217,3,Nhân viên,"nhân viên, nhan vien"
216,3,Nhân viên,"nhân viên, nhan vien"
215,10,Nhân viên,"nhân viên, nhan vien"
214,7,Nhân viên,"nhân viên, nhan vien"
213,16,Nhân viên,"nhân viên, nhan vien"
212,16,Nhân viên,"nhân viên, nhan vien"
210,6,Nhân viên,"nhân viên, nhan vien"
209,15,Nhân viên,"nhân viên, nhan vien"
208,4,Nhân viên,"nhân viên, nhan vien"
206,8,Nhân viên,"nhân viên, nhan vien"
205,5,Nhân viên,"nhân viên, nhan vien"
202,2,Nhân viên,"nhân viên, nhan vien"
201,16,Nhân viên,"nhân viên, nhan vien"
200,3,Nhân viên,"nhân viên, nhan vien"
199,7,Nhân viên,"nhân viên, nhan vien"
198,16,Nhân viên,"nhân viên, nhan vien"
197,15,Nhân viên,"nhân viên, nhan vien"
196,14,Quản lý,"quản lý, quan ly"
195,2,Nhân viên,"nhân viên, nhan vien"
194,7,Nhân viên,"nhân viên, nhan vien"
193,3,Nhân viên,"nhân viên, nhan vien"
192,3,Nhân viên,"nhân viên, nhan vien"
191,15,Nhân viên,"nhân viên, nhan vien"
190,3,Nhân viên,"nhân viên, nhan vien"
189,10,Nhân viên,"nhân viên, nhan vien"
187,7,Nhân viên,"nhân viên, nhan vien"
186,8,Nhân viên,"nhân viên, nhan vien"
185,15,Nhân viên,"nhân viên, nhan vien"
184,15,Nhân viên,"nhân viên, nhan vien"
183,3,Nhân viên,"nhân viên, nhan vien"
182,4,Nhân viên,"nhân viên, nhan vien"
181,4,Nhân viên,"nhân viên, nhan vien"
180,7,Nhân viên,"nhân viên, nhan vien"
176,8,Nhân viên,"nhân viên, nhan vien"
174,15,Nhân viên,"nhân viên, nhan vien"
173,7,Nhân viên,"nhân viên, nhan vien"
172,15,Nhân viên,"nhân viên, nhan vien"
171,4,Nhân viên,"nhân viên, nhan vien"
170,7,Nhân viên,"nhân viên, nhan vien"
168,3,Nhân viên,"nhân viên, nhan vien"
166,3,Nhân viên,"nhân viên, nhan vien"
165,5,Nhân viên,"nhân viên, nhan vien"
164,14,Nhân viên,"nhân viên, nhan vien"
163,14,Nhân viên,"nhân viên, nhan vien"
162,14,Nhân viên,"nhân viên, nhan vien"
161,3,Nhân viên,"nhân viên, nhan vien"
160,15,Nhân viên,"nhân viên, nhan vien"
158,14,Nhân viên,"nhân viên, nhan vien"
157,14,Nhân viên,"nhân viên, nhan vien"
156,14,Nhân viên,"nhân viên, nhan vien"
155,14,Nhân viên,"nhân viên, nhan vien"
154,4,Nhân viên,"nhân viên, nhan vien"
153,7,Nhân viên,"nhân viên, nhan vien"
152,16,Nhân viên,"nhân viên, nhan vien"
150,10,Nhân viên,"nhân viên, nhan vien"
149,3,Nhân viên,"nhân viên, nhan vien"
148,16,Nhân viên,"nhân viên, nhan vien"
146,7,Nhân viên,"nhân viên, nhan vien"
145,6,Nhân viên,"nhân viên, nhan vien"
144,2,Nhân viên,"nhân viên, nhan vien"
143,4,Nhân viên,"nhân viên, nhan vien"
142,5,Nhân viên,"nhân viên, nhan vien"
141,5,Nhân viên,"nhân viên, nhan vien"
140,10,Kế toán trưởng,"kế toán trưởng, ke toan truong"
139,7,Nhân viên,"nhân viên, nhan vien"
138,3,Nhân viên,"nhân viên, nhan vien"
137,16,Nhân viên,"nhân viên, nhan vien"
136,16,Nhân viên,"nhân viên, nhan vien"
135,16,Nhân viên,"nhân viên, nhan vien"
134,11,Nhân viên,"nhân viên, nhan vien"
133,7,Nhân viên,"nhân viên, nhan vien"
132,7,Nhân viên,"nhân viên, nhan vien"
131,16,Nhân viên,"nhân viên, nhan vien"
130,8,Nhân viên,"nhân viên, nhan vien"
129,7,Nhân viên,"nhân viên, nhan vien"
128,11,Nhân viên,"nhân viên, nhan vien"
127,4,Nhân viên,"nhân viên, nhan vien"
126,18,Nhân viên,"nhân viên, nhan vien"
125,2,Nhân viên,"nhân viên, nhan vien"
124,2,Nhân viên,"nhân viên, nhan vien"
123,4,Nhân viên,"nhân viên, nhan vien"
122,4,Nhân viên,"nhân viên, nhan vien"
120,17,Nhân viên,"nhân viên, nhan vien"
119,3,Nhân viên,"nhân viên, nhan vien"
118,5,Nhân viên,"nhân viên, nhan vien"
117,7,Nhân viên,"nhân viên, nhan vien"
116,4,Nhân viên,"nhân viên, nhan vien"
115,11,Nhân viên,"nhân viên, nhan vien"
114,7,phó giám đốc,"phó giám đốc, pho giam doc"
113,7,Nhân viên,"nhân viên, nhan vien"
112,3,Nhân viên,"nhân viên, nhan vien"
111,4,Nhân viên,"nhân viên, nhan vien"
110,4,Nhân viên,"nhân viên, nhan vien"
109,4,Nhân viên,"nhân viên, nhan vien"
108,2,Nhân viên,"nhân viên, nhan vien"
107,5,Nhân viên,"nhân viên, nhan vien"
106,15,Nhân viên,"nhân viên, nhan vien"
105,4,Nhân viên,"nhân viên, nhan vien"
104,15,Nhân viên,"nhân viên, nhan vien"
103,16,Nhân viên,"nhân viên, nhan vien"
102,7,Nhân viên,"nhân viên, nhan vien"
101,7,Nhân viên,"nhân viên, nhan vien"
100,4,Nhân viên,"nhân viên, nhan vien"
99,3,Nhân viên,"nhân viên, nhan vien"
